Auflage_DB_ID,Bescheid_ID,GZ,Auflagen_ID_laut_Bescheid,Auflagentyp,Auflagentext,Zielsystem,GSA_ID,GSA_Name,Frist,Intervall,Status,Rueckmeldung_am,Bemerkung
AUF-000109,B-200912100011,WA1-W-17716/334,32. Baustellensicherung ,Baustellensicherung durchführen,Die Baustelle ist gemäß §90 StVO abzusichern.,EBauH,GSA-002,GSA02,,BEGL,Produktiv,28.04.2026,
AUF-000110,B-200912100011,WA1-W-17716/334,35. Baustellenabwasser b,Baustellenabwasser behandeln,Anfallende Bauwässer sind vor Einleitung in das Gewässer zu behandeln.,EBauH,GSA-001,GSA01,,BEGL,Produktiv,30.11.2025,
AUF-000111,B-200912100011,WA1-W-17716/334,43. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-002,GSA02,14.07.2029,2x_jährlich,Produktiv,25.06.2025,
AUF-000112,B-200912100011,WA1-W-17716/334,38. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-003,GSA03,21.10.2029,jährlich,Produktiv,16.11.2025,
AUF-000113,B-200912100011,WA1-W-17716/334,32. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-003,GSA03,04.01.2028,halbjährlich,Produktiv,24.01.2026,
AUF-000114,B-200912100011,WA1-W-17716/334,45. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-001,GSA01,,laufend,Produktiv,25.02.2026,
AUF-000115,B-200912100011,WA1-W-17716/334,16. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-002,GSA02,12.12.2029,jährlich,Produktiv,27.04.2026,
AUF-000116,B-200912100011,WA1-W-17716/334,35. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-003,GSA03,07.07.2029,jährlich,Produktiv,16.05.2026,
AUF-000117,B-200912100011,WA1-W-17716/334,30. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,21.02.2028,halbjährlich,Produktiv,12.07.2025,
AUF-000118,B-200912100011,WA1-W-17716/334,39. Inspektionselement g,Inspektionselement georeferenzieren,Alle Anlagenteile sind in das GIS-System einzumessen.,GIS,GSA-003,GSA03,,EINM,Produktiv,22.05.2026,
AUF-000119,B-201402170012,WA1-W-66498/462,9. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-001,GSA01,26.10.2028,2x_jährlich,Produktiv,03.03.2026,
AUF-000120,B-201402170012,WA1-W-66498/462,14. Sedimente entfernen,Sedimente entfernen,"Das Rückhaltebecken ist bei Bedarf, mindestens jedoch alle 3 Jahre zu räumen.",EBeH,GSA-001,GSA01,25.07.2030,3-jährlich,Produktiv,17.02.2026,
AUF-000121,B-201402170012,WA1-W-66498/462,39. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-001,GSA01,13.04.2028,jährlich,Produktiv,26.01.2026,
AUF-000122,B-201402170012,WA1-W-66498/462,35. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,08.03.2028,halbjährlich,Produktiv,19.03.2026,
AUF-000123,B-201402170012,WA1-W-66498/462,43. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-001,GSA01,,laufend,Produktiv,10.04.2026,
AUF-000124,B-201402170012,WA1-W-66498/462,16. §134 Überprüfung dur,§134 Überprüfung durchführen,Eine Überprüfung nach §134 WRG ist alle 10 Jahre durchzuführen.,EBeH,GSA-001,GSA01,18.06.2029,10-jährlich,Produktiv,08.06.2026,
AUF-000125,B-201402170012,WA1-W-66498/462,4. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,10.12.2028,jährlich,Produktiv,13.11.2025,
AUF-000126,B-201402170012,WA1-W-66498/462,31. Pflegeplan einhalten,Pflegeplan einhalten,Der Pflegeplan ist jährlich umzusetzen und die Maßnahmen sind zu dokumentieren.,GUSTAV,GSA-001,GSA01,24.10.2027,jährlich,Produktiv,13.12.2025,
AUF-000127,B-201402170012,WA1-W-66498/462,33. Neophytenmonitoring ,Neophytenmonitoring durchführen,Der Bestand an Neophyten ist jährlich zu kartieren und die Ergebnisse sind der Behörde zu melden.,GUSTAV,GSA-001,GSA01,27.12.2029,jährlich,Produktiv,06.08.2025,
AUF-000128,B-201402170012,WA1-W-66498/462,34. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,24.02.2031,jährlich,Produktiv,25.10.2025,
AUF-000129,B-201402170012,WA1-W-66498/462,31. Blei messen,Blei messen,Der Bleigehalt im Ablaufwasser ist einmal jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,18.10.2027,jährlich,Produktiv,10.11.2025,
AUF-000130,B-201402170012,WA1-W-66498/462,29. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,13.06.2031,halbjährlich,Produktiv,06.05.2026,
AUF-000131,B-201402170012,WA1-W-66498/462,9. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,28.10.2027,jährlich,Produktiv,01.08.2025,
AUF-000132,B-201402170012,WA1-W-66498/462,39. Cadmium messen,Cadmium messen,"Cadmium ist jährlich im Ablauf zu messen und darf den Grenzwert von 0,1 mg/l nicht überschreiten.",Probenahmeübersichtsplan,GSA-001,GSA01,04.08.2029,jährlich,Produktiv,27.10.2025,
AUF-000133,B-200802230013,WA1-W-42742/995,45. Mahd durchführen,Mahd durchführen,Die Böschungen sind mindestens zweimal jährlich zu mähen und das Mähgut ist abzutragen.,EBeH,GSA-002,GSA02,05.01.2028,2x_jährlich,Produktiv,16.07.2025,
AUF-000134,B-200802230013,WA1-W-42742/995,29. Sedimente entfernen,Sedimente entfernen,"Das Rückhaltebecken ist bei Bedarf, mindestens jedoch alle 3 Jahre zu räumen.",EBeH,GSA-001,GSA01,12.11.2029,3-jährlich,Produktiv,17.11.2025,
AUF-000135,B-200802230013,WA1-W-42742/995,26. Schieber kontrollier,Schieber kontrollieren,Sämtliche Armaturen sind regelmäßig auf Dichtheit zu kontrollieren.,EBeH,GSA-002,GSA02,30.12.2029,jährlich,Produktiv,29.04.2026,
AUF-000136,B-200802230013,WA1-W-42742/995,21. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-002,GSA02,06.11.2029,halbjährlich,Produktiv,07.12.2025,
AUF-000137,B-200802230013,WA1-W-42742/995,44. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-001,GSA01,,laufend,Produktiv,13.05.2026,
AUF-000138,B-200802230013,WA1-W-42742/995,6. §134 Überprüfung dur,§134 Überprüfung durchführen,Eine Überprüfung nach §134 WRG ist alle 10 Jahre durchzuführen.,EBeH,GSA-001,GSA01,07.12.2027,10-jährlich,Produktiv,28.04.2026,
AUF-000139,B-200802230013,WA1-W-42742/995,36. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-002,GSA02,08.03.2028,jährlich,Produktiv,20.08.2025,
AUF-000140,B-200802230013,WA1-W-42742/995,8. Pflegeplan einhalten,Pflegeplan einhalten,Der Pflegeplan ist jährlich umzusetzen und die Maßnahmen sind zu dokumentieren.,GUSTAV,GSA-002,GSA02,19.03.2031,jährlich,Produktiv,17.12.2025,
AUF-000141,B-200802230013,WA1-W-42742/995,19. Neophytenmonitoring ,Neophytenmonitoring durchführen,Eine jährliche Bestandserhebung invasiver Arten ist durchzuführen.,GUSTAV,GSA-002,GSA02,29.09.2027,jährlich,Produktiv,18.12.2025,
AUF-000142,B-200802230013,WA1-W-42742/995,33. Zink messen,Zink messen,Der Parameter Zink ist jährlich im Ablauf des Rückhaltebeckens zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,11.09.2030,jährlich,Produktiv,29.03.2026,
AUF-000143,B-200802230013,WA1-W-42742/995,23. Blei messen,Blei messen,Der Bleigehalt im Ablaufwasser ist einmal jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,23.01.2028,jährlich,Produktiv,19.04.2026,
AUF-000144,B-200802230013,WA1-W-42742/995,36. KW-Index messen,KW-Index messen,Der KW-Index ist halbjährlich im Ablauf zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,10.11.2029,halbjährlich,Produktiv,09.08.2025,
AUF-000145,B-200802230013,WA1-W-42742/995,12. Nickel messen,Nickel messen,Nickel ist einmal jährlich im Ablauf zu bestimmen.,Probenahmeübersichtsplan,GSA-002,GSA02,14.08.2027,jährlich,Produktiv,22.06.2025,
AUF-000146,B-200802230013,WA1-W-42742/995,1. Cadmium messen,Cadmium messen,"Cadmium ist jährlich im Ablauf zu messen und darf den Grenzwert von 0,1 mg/l nicht überschreiten.",Probenahmeübersichtsplan,GSA-002,GSA02,03.06.2029,jährlich,Produktiv,04.04.2026,
AUF-000147,B-200604260014,WA1-W-44760/902,10. Mahd durchführen,Mahd durchführen,Die begrünten Flächen sind regelmäßig zu mähen und freizuhalten.,EBeH,GSA-004,GSA04,05.11.2027,2x_jährlich,Produktiv,27.07.2025,
AUF-000148,B-200604260014,WA1-W-44760/902,48. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-001,GSA01,20.12.2027,jährlich,Produktiv,06.12.2025,
AUF-000149,B-200604260014,WA1-W-44760/902,22. Rückhaltebecken insp,Rückhaltebecken inspizieren,Das Rückhaltebecken ist halbjährlich zu inspizieren.,EBeH,GSA-004,GSA04,31.12.2029,halbjährlich,Produktiv,09.12.2025,
AUF-000150,B-200604260014,WA1-W-44760/902,47. Betriebsbuch führen,Betriebsbuch führen,Sämtliche Wartungs- und Kontrollmaßnahmen sind im Betriebsbuch zu dokumentieren.,EBeH,GSA-003,GSA03,,laufend,Produktiv,30.08.2025,
AUF-000151,B-200604260014,WA1-W-44760/902,10. Neophyten entfernen,Neophyten entfernen,Invasive Neophyten sind unverzüglich nach Auftreten zu entfernen und fachgerecht zu entsorgen.,GUSTAV,GSA-001,GSA01,01.10.2027,jährlich,Produktiv,04.08.2025,
AUF-000152,B-200604260014,WA1-W-44760/902,6. Gehölzpflege durchfü,Gehölzpflege durchführen,Strauch- und Baumschnitt ist nach fachlichen Grundsätzen durchzuführen.,GUSTAV,GSA-001,GSA01,27.03.2031,5-jährlich,Produktiv,02.11.2025,
AUF-000153,B-200604260014,WA1-W-44760/902,39. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-004,GSA04,06.03.2030,halbjährlich,Produktiv,16.11.2025,
AUF-000154,B-200604260014,WA1-W-44760/902,28. Nickel messen,Nickel messen,Der Nickelgehalt ist entsprechend der EU-VO 2023/915 jährlich zu messen.,Probenahmeübersichtsplan,GSA-001,GSA01,22.05.2029,jährlich,Produktiv,22.01.2026,
AUF-000155,B-201802070015,WA1-W-30635/158,34. Ölbindemittel bereit,Ölbindemittel bereitstellen,Ölbindemittel sind in einem verschlossenen Behälter vor Ort vorzuhalten.,EBauH,GSA-001,GSA01,,EINM,Produktiv,24.05.2026,
AUF-000156,B-201802070015,WA1-W-30635/158,26. Baustellensicherung ,Baustellensicherung durchführen,Die Baustelle ist gemäß §90 StVO abzusichern.,EBauH,GSA-001,GSA01,,BEGL,Produktiv,13.06.2026,
AUF-000157,B-201802070015,WA1-W-30635/158,20. Baustellenabwasser b,Baustellenabwasser behandeln,Anfallende Bauwässer sind vor Einleitung in das Gewässer zu behandeln.,EBauH,GSA-001,GSA01,,BEGL,Produktiv,07.04.2026,
AUF-000158,B-201802070015,WA1-W-30635/158,21. Mahd durchführen,Mahd durchführen,Die Böschungen sind mindestens zweimal jährlich zu mähen und das Mähgut ist abzutragen.,EBeH,GSA-001,GSA01,28.01.2029,2x_jährlich,Produktiv,13.06.2026,
AUF-000159,B-201802070015,WA1-W-30635/158,12. Schieber kontrollier,Schieber kontrollieren,Die Schieber und Absperrorgane sind jährlich auf Funktionstüchtigkeit zu prüfen.,EBeH,GSA-001,GSA01,13.11.2029,jährlich,Produktiv,04.12.2025,
AUF-000160,B-201802070015,WA1-W-30635/158,36. Rückhaltebecken insp,Rückhaltebecken inspizieren,Eine jährliche Begehung und Inspektion des Rückhaltebeckens ist durchzuführen.,EBeH,GSA-001,GSA01,05.04.2030,halbjährlich,Produktiv,11.05.2026,
AUF-000161,B-201802070015,WA1-W-30635/158,48. Betriebsbuch führen,Betriebsbuch führen,Über alle Betriebsvorgänge ist ein Betriebsbuch zu führen.,EBeH,GSA-001,GSA01,,laufend,Produktiv,05.11.2025,
AUF-000162,B-201802070015,WA1-W-30635/158,5. Neophyten entfernen,Neophyten entfernen,Vorkommen von Japanknöterich (Fallopia japonica) sind regelmäßig zu kontrollieren und zu bekämpfen.,GUSTAV,GSA-001,GSA01,12.01.2030,jährlich,Produktiv,26.08.2025,
AUF-000163,B-201802070015,WA1-W-30635/158,26. Zink messen,Zink messen,Die Zinkkonzentration im Gewässer ist jährlich zu bestimmen.,Probenahmeübersichtsplan,GSA-001,GSA01,02.09.2030,jährlich,Produktiv,19.01.2026,
AUF-000164,B-201802070015,WA1-W-30635/158,11. KW-Index messen,KW-Index messen,Die Konzentration an Mineralölkohlenwasserstoffen ist regelmäßig zu kontrollieren.,Probenahmeübersichtsplan,GSA-001,GSA01,11.04.2029,halbjährlich,Produktiv,28.06.2025,
AUF-000165,B-201802070015,WA1-W-30635/158,28. Inspektionselement g,Inspektionselement georeferenzieren,Alle Anlagenteile sind in das GIS-System einzumessen.,GIS,GSA-001,GSA01,,EINM,Produktiv,12.02.2026,
